country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989 ,1990 ,1991 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NORTH AMERICA,11037.1,11220.6,11724.4,12412.2,12707.1,13275.1,13933.0,14334.0,15328.4,16180.8,16866.4,17395.0,18741.0,19766.4,19064.0,18409.9,19704.4,21009.4,21380.9,20976.1,19492.8,18528.7,17552.7,17146.9,17669.7,17424.3,17903.9,18351.5,19010.1,19102.8,18727.4,18393.4,18760.5,18990.3,19493.1,19544.3,20182.0,20582.2,20868.6,21558.2,21707.2,21694.0,21828.6,22226.4,23015.7,23120.4,22919.6,22966.6,21725.2,20936.7,21447.6,21217.7,20821.2,21193.6
CANADA,853.6,872.0,923.1,982.1,1050.5,1130.7,1187.1,1266.7,1347.4,1408.1,1525.2,1559.9,1657.8,1760.7,1816.8,1745.1,1780.6,1826.1,1886.4,1930.4,1897.0,1783.2,1581.7,1502.4,1520.0,1526.0,1531.0,1607.0,1681.0,1754.0,1737.0,1677.0,1725.0,1750.5,1772.2,1817.3,1870.6,1958.9,1949.5,2035.8,2013.8,2043.0,2065.0,2190.8,2282.0,2315.1,2229.0,2283.1,2225.0,2162.9,2264.5,2266.0,2277.2,2291.2
UNITED STATES,10181.2,10346.3,10799.0,11427.8,11654.3,12142.1,12743.5,13065.1,13978.7,14770.5,15338.9,15832.8,17080.8,18003.3,17244.8,16662.5,17921.5,19181.0,19492.2,19043.4,17593.4,16743.1,15968.7,15642.3,16147.4,15896.0,16370.6,16742.2,17326.8,17346.4,16988.0,16714.0,17033.0,17237.3,17718.4,17724.4,18308.8,18620.7,18916.6,19519.9,19691.0,19648.5,19761.1,20033.1,20731.1,20802.6,20687.9,20680.8,19497.6,18771.3,19180.5,18949.2,18541.6,18899.9
OTHERS,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5
LATIN AMERICA,1376.8,1458.7,1549.0,1661.7,1796.7,1887.9,2029.4,2160.6,2378.4,2640.2,2847.7,2990.1,3102.4,3490.7,3528.5,3643.8,3890.5,4011.1,4252.7,4497.3,4640.8,4736.6,4780.4,4621.6,4693.3,4787.3,5020.9,5206.0,5222.5,5407.7,5441.5,5576.0,5714.9,5839.4,6137.4,6228.5,6341.0,6785.3,7101.9,7153.2,7252.1,7351.7,7249.0,7201.0,7481.2,7664.5,7852.5,8165.9,8314.1,8338.4,8545.6,8809.7,9075.0,9266.9
ARGENTINA,411.6,417.2,422.8,428.4,433.9,439.5,445.1,450.7,456.3,461.9,477.6,481.0,478.0,495.0,490.0,466.0,483.0,511.0,513.0,546.0,523.0,516.0,499.0,490.0,477.0,433.0,452.0,485.0,460.0,434.0,406.0,426.3,440.7,462.6,461.5,486.6,491.3,497.8,526.9,517.4,528.5,492.2,440.4,440.6,473.2,492.1,536.9,527.4,595.2,600.2,631.4,652.3,669.2,688.8
BRAZIL,270.0,280.0,310.0,340.0,350.0,330.0,380.0,380.0,460.0,480.0,530.0,580.0,647.0,776.0,847.0,900.0,996.0,1026.0,1126.0,1201.0,1183.0,1116.0,1132.0,1107.0,1121.0,1208.0,1350.0,1374.0,1363.0,1399.0,1394.0,1412.5,1445.0,1569.3,1639.6,1823.8,1905.0,2079.7,2127.0,2167.4,2158.9,2168.0,2152.2,2080.6,2159.9,2209.4,2258.4,2381.5,2518.4,2572.1,2714.2,2797.6,2895.1,3012.6
COLOMBIA,100.2,103.7,107.2,110.7,114.2,117.7,121.2,124.7,128.2,131.7,135.2,137.0,139.0,145.0,152.0,150.0,151.0,159.0,152.0,165.0,167.0,171.0,175.0,183.0,179.0,183.0,180.0,195.0,193.0,206.0,211.0,214.6,236.8,259.3,271.8,291.5,300.3,313.6,307.1,279.3,269.5,250.8,249.0,248.2,256.2,253.6,260.9,270.8,273.9,276.1,277.8,283.3,289.3,295.0
ECUADOR,14.2,14.6,17.4,17.8,19.5,21.1,21.5,24.3,27.2,27.2,27.3,28.7,28.9,32.9,41.0,47.0,55.2,65.8,74.5,83.5,83.0,90.0,91.0,82.0,85.0,89.0,92.0,93.0,98.0,99.0,104.0,108.6,110.0,105.8,113.0,120.0,129.0,137.3,145.3,128.8,140.1,154.4,169.0,173.1,176.0,182.6,188.2,192.5,197.3,222.4,241.7,257.9,263.9,269.9
MEXICO,84.1,104.5,118.5,154.2,188.6,221.8,252.3,272.7,339.0,414.2,486.8,527.6,602.5,665.8,725.2,769.0,846.3,896.6,970.3,1038.1,1178.5,1303.9,1367.8,1319.9,1395.0,1476.0,1523.0,1576.0,1598.0,1715.0,1754.0,1830.0,1855.0,1820.7,1923.5,1800.8,1820.1,1887.6,2001.8,2043.3,2096.2,2068.6,2019.0,2015.7,2069.0,2116.6,2123.0,2172.9,2161.1,2070.6,2080.4,2113.4,2144.2,2105.1
VENEZUELA,76.4,78.1,77.2,85.0,91.5,123.3,129.5,132.5,141.9,144.7,152.4,162.7,203.3,225.7,224.1,235.9,264.4,276.4,302.9,333.9,406.8,418.3,426.8,409.5,395.7,397.3,401.5,396.2,408.3,407.1,413.5,420.4,447.0,440.1,426.3,428.7,445.8,472.4,494.4,451.8,497.3,507.9,491.0,475.0,509.3,573.0,635.8,675.7,650.2,679.6,675.1,741.7,786.3,831.1
OTHERS,420.4,460.6,495.8,525.6,599.0,634.6,679.7,775.6,825.8,980.5,1038.3,1073.1,1003.8,1150.5,1049.2,1075.9,1094.6,1076.3,1114.0,1129.7,1099.4,1121.4,1088.8,1030.2,1040.6,1001.0,1022.4,1086.8,1102.2,1147.6,1159.0,1163.8,1180.4,1181.7,1301.7,1277.2,1249.5,1396.9,1499.5,1565.3,1561.6,1709.7,1728.4,1767.8,1837.6,1837.1,1849.4,1945.1,1917.9,1917.5,1925.0,1963.4,2027.1,2064.2
EASTERN EUROPE AND EURASIA,2538.8,2766.7,3089.3,3325.7,3680.0,3964.2,4271.8,4678.7,5007.9,5391.7,5964.5,6337.4,6849.7,7485.1,7982.1,8897.9,9198.8,9573.6,9957.3,10282.4,10497.7,10568.2,10526.9,10517.9,10419.0,10312.0,10349.0,10422.0,10350.0,10219.0,9953.1,9425.1,7990.7,6831.9,5918.4,5848.1,5421.3,5591.3,5435.8,5233.7,4925.1,5025.5,4851.6,4997.4,5104.2,5170.4,5332.8,5386.4,5438.1,5297.1,5477.0,5590.9,5659.4,5694.7
CZECH REPUBLIC,51.7,56.4,61.1,65.8,70.6,75.3,82.8,92.1,101.8,109.4,131.8,145.8,159.0,178.4,181.8,195.2,199.7,216.7,219.4,225.9,220.9,228.2,218.9,205.0,211.0,209.0,208.0,210.0,198.0,208.0,184.0,152.0,163.0,154.3,158.8,168.0,173.3,169.2,174.9,174.3,170.0,178.8,176.1,187.6,206.1,212.9,211.3,211.3,215.3,205.4,201.4,197.0,195.3,189.6
HUNGARY,39.7,46.5,53.2,60.0,66.7,73.0,80.8,85.9,90.1,100.9,117.4,132.5,144.8,159.6,174.7,194.2,199.8,216.7,240.5,230.2,221.1,218.9,206.9,194.5,200.0,206.0,195.0,199.0,182.0,183.0,178.0,164.0,164.0,160.8,162.0,155.5,144.8,148.9,155.5,149.0,143.3,138.0,140.3,136.3,136.3,154.9,163.1,160.8,158.8,158.1,149.1,143.3,132.8,134.3
KAZAKHSTAN,103.1,113.9,126.7,139.0,163.1,165.9,172.8,184.0,194.0,208.0,226.2,235.4,264.1,291.8,309.2,358.8,378.0,384.5,387.0,407.7,423.5,432.6,426.3,422.5,424.8,421.1,384.1,371.8,372.8,382.0,442.4,446.1,416.4,321.3,248.1,243.4,205.9,207.9,172.9,144.4,162.3,178.5,191.2,209.0,222.7,235.8,239.1,246.7,266.5,253.4,261.8,271.5,275.5,287.9
POLAND,45.1,52.6,59.0,66.7,77.7,86.2,99.5,114.0,132.5,140.1,162.0,177.5,202.0,225.0,239.5,266.9,289.3,312.1,328.8,333.5,341.6,313.2,295.9,306.6,314.0,317.0,331.0,340.0,340.0,345.0,283.0,272.0,279.0,293.6,304.3,317.5,361.5,391.0,403.7,424.9,411.1,404.7,406.2,430.8,454.1,470.5,502.1,522.6,535.8,540.8,564.3,559.3,522.0,495.5
ROMANIA,60.7,79.2,97.7,116.2,134.7,153.2,171.7,190.2,208.7,250.0,251.8,257.6,272.6,306.0,281.0,321.3,360.3,384.1,421.0,447.7,397.7,353.0,345.0,340.0,332.0,334.0,356.0,377.0,369.0,389.0,423.2,326.2,294.5,236.1,235.5,260.5,252.0,265.7,245.7,244.6,235.4,240.1,242.9,247.1,230.0,228.1,231.9,213.0,194.5,176.1,165.6,163.3,166.8,167.3
RUSSIA,1673.1,1784.9,1966.4,2173.7,2369.1,2570.1,2715.8,2922.6,3076.6,3168.2,3202.6,3278.1,3515.8,3812.5,4071.8,4604.2,4658.8,4816.2,4904.8,5017.4,5158.9,5261.4,5227.4,5153.5,5028.3,4943.7,5006.3,5050.8,5000.7,5111.4,5048.8,4921.4,4524.8,3816.2,3304.9,3122.5,2751.8,2759.3,2613.1,2712.9,2697.8,2688.3,2729.6,2754.6,2766.3,2777.0,2893.1,2913.3,3036.3,2935.7,3199.3,3306.1,3393.9,3435.4
SLOVAKIA,33.1,34.5,35.9,37.3,38.7,40.2,44.2,49.1,54.3,58.4,70.3,77.8,80.1,88.8,91.4,93.8,98.4,100.9,105.5,109.5,111.1,108.0,92.2,92.8,90.0,89.0,87.0,86.0,83.0,102.0,107.0,90.0,78.0,64.5,65.5,64.7,68.3,73.5,74.5,68.0,66.8,71.3,82.8,75.0,74.8,78.8,78.3,83.3,86.0,80.5,83.6,82.0,71.5,72.3
UKRAINE,303.2,323.4,364.2,402.4,467.9,472.6,512.9,550.3,580.3,619.4,688.2,749.1,803.9,886.9,978.9,1133.2,1140.5,1192.4,1235.6,1253.4,1273.2,1279.6,1303.3,1323.7,1286.0,1271.6,1277.7,1330.2,1219.8,1170.7,1271.6,1160.6,857.5,496.0,403.2,393.7,292.7,289.0,298.3,269.7,252.9,283.8,282.3,295.3,310.1,295.7,308.3,337.9,322.5,288.3,281.4,277.0,282.6,275.0
OTHERS,229.2,275.4,325.2,264.6,291.5,327.8,391.2,490.5,569.6,737.3,1114.0,1283.5,1407.4,1536.0,1653.7,1730.3,1874.1,1950.0,2114.7,2257.1,2349.6,2373.3,2411.1,2479.3,2532.9,2520.7,2503.9,2457.3,2584.6,2327.8,2015.1,1892.8,1213.5,1289.1,1036.1,1122.2,1171.0,1286.6,1297.1,1045.7,785.5,841.9,600.3,661.7,704.0,716.8,705.5,697.5,622.5,658.8,570.6,591.4,619.0,637.5
WESTERN EUROPE,3830.6,4322.0,4979.8,5685.1,6497.4,7237.4,8034.7,8664.8,9552.2,10622.2,12277.4,12816.1,13743.8,14690.3,13845.2,13299.9,14145.7,13939.4,14532.2,14892.9,13989.4,13052.8,12480.5,12239.1,12293.7,12262.7,12726.7,12849.7,13096.7,13157.6,13380.6,13724.5,13853.5,13922.3,14026.5,14338.1,14567.1,14713.6,15010.1,14944.1,14840.9,15027.9,14959.6,15037.1,15113.6,15184.1,15156.3,14914.7,14796.8,14061.5,14008.1,13617.7,13164.1,13004.2
FRANCE,561.3,607.5,675.4,792.2,913.8,995.9,1077.5,1226.2,1360.2,1523.6,1870.0,2033.0,2245.8,2487.6,2326.6,2161.6,2330.7,2236.3,2384.9,2401.2,2234.9,2009.1,1875.5,1834.8,1771.0,1753.0,1764.0,1785.0,1801.0,1844.0,1826.0,1942.0,1934.0,1878.2,1865.7,1919.9,1949.5,1968.9,2043.0,2031.5,2000.7,2054.4,1991.7,2001.2,2009.2,1991.1,1991.0,1979.1,1945.5,1868.4,1833.4,1792.4,1739.6,1728.6
GERMANY,630.5,764.9,941.9,1120.2,1303.9,1493.0,1703.0,1738.3,1941.9,2181.9,2666.3,2773.4,2941.2,3146.5,2864.9,2808.4,2966.5,2964.6,3119.3,3227.0,2970.3,2715.0,2588.9,2559.1,2557.0,2651.0,2792.0,2723.0,2723.0,2581.0,2682.0,2829.0,2841.0,2908.4,2883.4,2882.1,2922.5,2917.0,2922.6,2838.3,2766.9,2807.5,2710.4,2662.3,2649.4,2620.6,2638.8,2416.4,2542.3,2453.0,2469.8,2396.8,2388.2,2405.3
ITALY,430.0,523.0,619.3,721.5,854.7,951.2,1101.2,1208.9,1310.0,1458.5,1656.8,1767.5,1885.2,2015.5,1958.4,1842.6,1933.5,1834.8,1886.2,1949.1,1912.0,1826.1,1779.5,1776.8,1720.0,1705.0,1734.0,1815.0,1829.0,1897.0,1868.0,1856.0,1894.0,1890.7,1869.2,1942.0,1920.5,1933.7,1943.3,1890.9,1853.8,1832.7,1870.2,1859.6,1828.6,1780.6,1776.6,1728.7,1666.7,1544.1,1544.4,1493.8,1352.8,1288.6
NETHERLANDS,188.4,222.7,265.2,301.7,349.9,401.1,419.5,439.9,479.0,523.0,630.9,621.3,703.5,732.0,635.4,615.5,707.0,672.1,740.5,831.4,777.8,778.0,624.3,613.0,590.0,610.0,675.0,691.0,723.0,715.0,734.0,758.0,769.0,764.3,763.8,767.5,761.5,793.0,801.4,828.0,854.3,893.5,898.5,918.5,947.8,1021.5,999.6,1111.0,1068.6,1005.2,1019.8,1016.4,1020.6,967.5
SPAIN,120.7,150.7,176.9,184.4,232.0,255.5,307.5,380.5,460.3,510.1,569.0,630.6,668.4,769.1,833.7,855.3,973.1,923.1,963.7,1014.2,1025.0,962.0,901.5,906.9,852.0,858.0,866.0,895.0,983.0,981.0,1010.0,1068.0,1104.0,1054.7,1118.6,1189.3,1199.4,1266.1,1356.0,1396.0,1433.0,1492.2,1504.4,1542.3,1571.3,1607.2,1588.3,1611.5,1546.9,1467.2,1440.9,1385.5,1288.9,1199.1
UNITED KINGDOM,920.0,972.2,1065.9,1157.9,1279.2,1389.6,1504.2,1618.7,1722.9,1858.8,2002.9,2011.5,2136.2,2194.7,2055.2,1834.1,1819.8,1829.6,1872.1,1872.4,1641.9,1539.6,1589.6,1521.6,1825.0,1617.0,1637.0,1611.0,1692.0,1731.0,1776.0,1803.0,1815.0,1828.6,1832.6,1816.0,1851.6,1810.1,1792.4,1811.5,1765.5,1746.8,1738.5,1759.6,1789.3,1819.5,1805.8,1750.6,1725.9,1636.4,1621.4,1583.9,1502.6,1518.8
OTHERS,979.7,1081.1,1235.2,1407.2,1563.9,1751.2,1921.7,2052.4,2277.9,2566.3,2881.6,2979.0,3163.4,3344.7,3171.1,3182.2,3415.1,3479.0,3565.6,3597.6,3427.5,3222.9,3121.2,3027.0,2978.7,3068.7,3258.7,3329.7,3345.7,3408.6,3484.6,3468.5,3496.5,3597.3,3693.2,3821.3,3962.1,4024.7,4151.4,4147.7,4166.7,4200.8,4245.7,4293.7,4318.0,4343.5,4356.1,4317.4,4300.8,4087.2,4078.4,3949.0,3871.3,3896.3
