Commodity.Description,"All Commodity Price Index, 2016 = 100, includes both Fuel and Non-Fuel Price Indices","Commodities for Index: All, excluding Gold, 2016 = 100","Non-Fuel Price Index, 2016 = 100, includes Precious Metal, Food and Beverages and Industrial Inputs Price Indices","Food and Beverage Price Index, 2016 = 100, includes Food and Beverage Price Indices","Food Price Index, 2016 = 100, includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, and Other Food (Apple (non-citrus fruit), Bananas, Chana (legumes), Fishmeal, Groundnuts, Milk (dairy), Tomato (veg)) Price Indices","Beverage Price Index, 2016 = 100, includes Coffee, Tea, and Cocoa","Industrial Inputs Price Index, 2016 = 100, includes Agricultural Raw Materials and Base Metals Price Indices","Agriculture Price Index, 2016 = 100, includes Food and Beverages and Agriculture Raw Materials Price Indices","Agricultural Raw Materials Index, 2016 = 100, includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","All Metals Index, 2016 = 100: includes Metal Price Index (Base Metals) and Precious Metals Index","Base Metals Price Index, 2016 = 100, includes Aluminum, Cobalt, Copper, Iron Ore, Lead, Molybdenum, Nickel, Tin, Uranium and Zinc Price Indices","Precious Metals Price Index, 2016 = 100, includes Gold, Silver, Palladium and Platinum Price Indices","All Metals EX GOLD Index, 2016 = 100: includes Metal Price Index (Base Metals) and ONLY Silver, Palladium, Platinum ","Fertilizer Index, 2016 = 100, includes DAP, Potash, UREA","Fuel (Energy) Index, 2016 = 100, includes Crude oil (petroleum), Natural Gas, Coal Price and Propane Indices","Crude Oil (petroleum), Price index, 2016 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh","Natural Gas Price Index, 2016 = 100, includes European, Japanese, and American Natural Gas Price Indices","Coal Price Index, 2016 = 100, includes Australian and South African Coal"
1980M1,,,,,,124.374,,,69.466,,,,,62.507,,,,
1980M2,,,,,,124.357,,,72.604,,,,,66.432,,,,
1980M3,,,,,,129.212,,,68.529,,,,,67.479,,,,
1980M4,,,,,,124.304,,,67.094,,,,,67.252,,,,
1980M5,,,,,,127.143,,,66.928,,,,,65.545,,,,
1980M6,,,,,,123.044,,,66.562,,,,,64.095,,,,
1980M7,,,,,,110.244,,,67.877,,,,,64.228,,,,
1980M8,,,,,,99.783,,,69.153,,,,,63.677,,,,
1980M9,,,,,,95.610,,,69.922,,,,,63.402,,,,
1980M10,,,,,,94.873,,,66.365,,,,,64.535,,,,
1980M11,,,,,,89.040,,,67.478,,,,,66.474,,,,
1980M12,,,,,,90.161,,,67.284,,,,,67.774,,,,
1981M1,,,,,,92.555,,,66.658,,,,,67.997,,,,
1981M2,,,,,,89.447,,,64.227,,,,,68.277,,,,
1981M3,,,,,,89.748,,,62.713,,,,,68.547,,,,
1981M4,,,,,,89.614,,,60.403,,,,,69.751,,,,
1981M5,,,,,,85.726,,,60.529,,,,,68.676,,,,
1981M6,,,,,,72.380,,,60.962,,,,,68.520,,,,
1981M7,,,,,,78.186,,,58.246,,,,,63.157,,,,
1981M8,,,,,,81.200,,,56.990,,,,,63.140,,,,
1981M9,,,,,,82.056,,,55.743,,,,,62.315,,,,
1981M10,,,,,,86.169,,,55.128,,,,,62.362,,,,
1981M11,,,,,,89.411,,,55.683,,,,,59.785,,,,
1981M12,,,,,,88.866,,,54.980,,,,,55.361,,,,
1982M1,,,,,,90.616,,,57.055,,,,,56.625,,,,
1982M2,,,,,,95.197,,,55.638,,,,,59.316,,,,
1982M3,,,,,,90.580,,,55.563,,,,,57.123,,,,
1982M4,,,,,,85.665,,,55.629,,,,,54.867,,,,
1982M5,,,,,,83.298,,,57.192,,,,,54.070,,,,
1982M6,,,,,,82.575,,,55.171,,,,,53.839,,,,
1982M7,,,,,,79.369,,,55.365,,,,,52.182,,,,
1982M8,,,,,,81.023,,,54.556,,,,,50.836,,,,
1982M9,,,,,,86.159,,,53.676,,,,,47.159,,,,
1982M10,,,,,,89.006,,,52.457,,,,,48.158,,,,
1982M11,,,,,,88.980,,,51.901,,,,,47.707,,,,
1982M12,,,,,,91.493,,,52.295,,,,,47.387,,,,
1983M1,,,,,,90.608,,,53.026,,,,,48.769,,,,
1983M2,,,,,,90.343,,,52.966,,,,,50.726,,,,
1983M3,,,,,,88.285,,,55.048,,,,,51.557,,,,
1983M4,,,,,,88.728,,,56.706,,,,,51.586,,,,
1983M5,,,,,,91.955,,,57.976,,,,,49.079,,,,
1983M6,,,,,,92.670,,,58.829,,,,,48.795,,,,
1983M7,,,,,,93.362,,,60.052,,,,,48.594,,,,
1983M8,,,,,,93.821,,,60.895,,,,,48.798,,,,
1983M9,,,,,,93.757,,,60.876,,,,,49.235,,,,
1983M10,,,,,,99.289,,,61.760,,,,,50.890,,,,
1983M11,,,,,,104.145,,,62.198,,,,,52.898,,,,
1983M12,,,,,,109.076,,,62.759,,,,,54.328,,,,
1984M1,,,,,,111.475,,,62.470,,,,,56.611,,,,
1984M2,,,,,,109.869,,,62.475,,,,,58.093,,,,
1984M3,,,,,,111.125,,,63.319,,,,,60.583,,,,
1984M4,,,,,,110.673,,,63.795,,,,,59.442,,,,
1984M5,,,,,,114.899,,,63.251,,,,,57.350,,,,
1984M6,,,,,,110.353,,,60.359,,,,,54.908,,,,
1984M7,,,,,,104.416,,,57.295,,,,,56.299,,,,
1984M8,,,,,,105.541,,,56.029,,,,,58.357,,,,
1984M9,,,,,,107.712,,,55.096,,,,,57.626,,,,
1984M10,,,,,,104.695,,,54.222,,,,,59.097,,,,
1984M11,,,,,,105.017,,,51.960,,,,,57.888,,,,
1984M12,,,,,,101.315,,,50.951,,,,,57.300,,,,
1985M1,,,,,,102.260,,,50.022,,,,,56.232,,,,
1985M2,,,,,,100.167,,,48.570,,,,,54.187,,,,
1985M3,,,,,,97.897,,,48.165,,,,,52.756,,,,
1985M4,,,,,,96.823,,,49.091,,,,,52.421,,,,
1985M5,,,,,,93.663,,,48.674,,,,,52.175,,,,
1985M6,,,,,,92.820,,,48.933,,,,,50.905,,,,
1985M7,,,,,,87.900,,,48.331,,,,,49.922,,,,
1985M8,,,,,,88.163,,,46.511,,,,,48.694,,,,
1985M9,,,,,,88.348,,,45.173,,,,,46.913,,,,
1985M10,,,,,,92.831,,,45.449,,,,,46.322,,,,
1985M11,,,,,,100.356,,,46.363,,,,,45.700,,,,
1985M12,,,,,,117.365,,,46.030,,,,,44.021,,,,
1986M1,,,,,,131.090,,,46.873,,,,,42.838,,,,
1986M2,,,,,,125.689,,,49.355,,,,,42.509,,,,
1986M3,,,,,,129.375,,,47.471,,,,,43.682,,,,
1986M4,,,,,,121.517,,,47.335,,,,,45.058,,,,
1986M5,,,,,,112.328,,,48.463,,,,,45.623,,,,
1986M6,,,,,,99.649,,,47.068,,,,,44.613,,,,
1986M7,,,,,,100.228,,,45.087,,,,,42.245,,,,
1986M8,,,,,,104.381,,,45.690,,,,,39.528,,,,
1986M9,,,,,,120.754,,,46.779,,,,,38.833,,,,
1986M10,,,,,,110.194,,,48.930,,,,,36.115,,,,
1986M11,,,,,,105.624,,,50.242,,,,,35.644,,,,
1986M12,,,,,,93.253,,,53.756,,,,,34.756,,,,
1987M1,,,,,,86.814,,,55.702,,,33.100,,39.187,,,,
1987M2,,,,,,84.719,,,56.901,,,32.579,,43.610,,,,
1987M3,,,,,,77.638,,,57.302,,,33.260,,42.110,,,,
1987M4,,,,,,78.914,,,59.846,,,36.196,,41.032,,,,
1987M5,,,,,,82.169,,,62.604,,,38.238,,38.292,,,,
1987M6,,,,,,76.219,,,62.765,,,36.917,,39.160,,,,
1987M7,,,,,,75.140,,,65.391,,,37.076,,39.867,,,,
1987M8,,,,,,75.543,,,69.338,,,38.045,,42.388,,,,
1987M9,,,,,,78.615,,,73.818,,,37.808,,43.479,,,,
1987M10,,,,,,81.770,,,72.454,,,38.049,,42.885,,,,
1987M11,,,,,,84.154,,,73.559,,,37.580,,43.992,,,,
1987M12,,,,,,83.744,,,72.506,,,38.952,,48.188,,,,
1988M1,,,,,,84.574,,,69.929,,,38.238,,52.181,,,,
1988M2,,,,,,84.713,,,66.059,,,35.577,,52.409,,,,
1988M3,,,,,,81.673,,,67.650,,,35.789,,51.591,,,,
1988M4,,,,,,79.926,,,70.048,,,36.502,,50.150,,,,
1988M5,,,,,,79.792,,,71.712,,,36.583,,48.501,,,,
1988M6,,,,,,79.735,,,72.413,,,36.900,,48.861,,,,
1988M7,,,,,,75.501,,,68.093,,,35.832,,51.318,,,,
1988M8,,,,,,70.761,,,67.023,,,35.184,,53.257,,,,
1988M9,,,,,,73.304,,,64.889,,,33.723,,53.797,,,,
1988M10,,,,,,75.382,,,64.569,,,33.282,,56.410,,,,
1988M11,,,,,,77.284,,,64.155,,,34.459,,58.585,,,,
1988M12,,,,,,82.856,,,65.516,,,34.312,,58.876,,,,
1989M1,,,,,,83.228,,,65.831,,,33.048,,58.399,,,,
1989M2,,,,,,78.904,,,66.450,,,31.894,,58.208,,,,
1989M3,,,,,,78.150,,,67.815,,,32.124,,57.892,,,,
1989M4,,,,,,76.196,,,68.846,,,31.778,,56.169,,,,
1989M5,,,,,,74.548,,,70.793,,,30.584,,53.291,,,,
1989M6,,,,,,69.753,,,73.695,,,30.206,,45.543,,,,
1989M7,,,,,,57.720,,,75.978,,,30.717,,43.974,,,,
1989M8,,,,,,53.038,,,76.177,,,29.874,,45.037,,,,
1989M9,,,,,,53.132,,,75.496,,,29.610,,45.018,,,,
1989M10,,,,,,49.690,,,74.361,,,30.011,,45.382,,,,
1989M11,,,,,,48.700,,,72.009,,,32.010,,45.344,,,,
1989M12,,,,,,48.930,,,69.870,,,33.243,,46.881,,,,
1990M1,,,,,,49.204,,,72.855,,,33.098,,48.838,,,,51.173
1990M2,,,,,,49.948,,,73.450,,,33.701,,49.022,,,,51.173
1990M3,,,,,,54.435,,,74.172,,,31.811,,49.386,,,,51.173
1990M4,,,,,,56.292,,,76.022,,,30.422,,49.955,,,,51.173
1990M5,,,,,,55.921,,,75.419,,,30.077,,48.935,,,,54.120
1990M6,,,,,,53.061,,,75.563,,,28.805,,49.201,,,,55.285
1990M7,,,,,,52.831,,,76.236,,,29.490,,50.507,,,,55.285
1990M8,,,,,,54.508,,,73.868,,,31.843,,53.418,,,,55.285
1990M9,,,,,,56.440,,,73.205,,,31.271,,56.427,,,,55.285
1990M10,,,,,,56.636,,,73.155,,,30.335,,60.215,,,,55.285
1990M11,,,,,,55.622,,,73.029,,,30.300,,59.556,,,,55.285
1990M12,,,,,,55.882,,,72.658,,,29.881,,58.887,,,,55.285
1991M1,,,,,,54.152,,,71.246,,,30.310,,58.558,,51.895,,55.285
1991M2,,,,,,52.871,,,72.489,,,28.754,,58.167,,41.623,,55.285
1991M3,,,,,,53.016,,,71.064,,,28.769,,58.406,,42.713,,52.243
1991M4,,,,,,52.103,,,71.897,,,28.497,,57.912,,44.273,,52.243
1991M5,,,,,,48.774,,,72.824,,,28.391,,56.627,,45.108,,52.243
1991M6,,,,,,47.460,,,74.039,,,29.163,,55.024,,43.608,,52.243
1991M7,,,,,,45.930,,,72.267,,,29.199,,54.357,,46.598,,52.243
1991M8,,,,,,47.387,,,71.030,,,28.122,,54.946,,46.778,,52.243
1991M9,,,,,,50.699,,,71.491,,,27.599,,54.495,,47.725,,52.243
1991M10,,,,,,49.691,,,70.083,,,28.399,,55.069,,51.262,,52.243
1991M11,,,,,,51.331,,,68.819,,,28.449,,53.019,,47.715,,52.243
1991M12,,,,,,51.102,,,68.755,,,28.486,,52.620,,40.520,,52.243
1992M1,50.727,53.251,54.673,66.027,67.513,48.468,52.709,66.179,67.202,37.324,46.949,28.019,44.529,53.415,45.019,40.225,54.516,52.243
1992M2,50.725,53.258,55.121,66.255,68.127,44.122,53.975,66.506,68.203,38.015,48.319,28.053,45.839,53.133,44.368,41.090,49.912,52.243
1992M3,50.752,53.374,55.400,67.093,69.046,44.007,54.009,67.284,68.573,37.605,48.220,27.342,45.718,52.632,44.027,41.165,50.534,52.243
1992M4,51.178,53.898,54.364,64.399,66.212,42.973,55.421,65.443,72.509,37.578,48.629,26.894,46.025,54.113,46.568,44.088,51.973,52.243
1992M5,52.639,55.539,55.424,66.399,68.556,40.899,55.337,67.155,72.274,37.534,48.606,26.830,46.049,56.536,48.610,45.566,54.755,52.243
1992M6,52.856,55.745,54.078,63.551,65.571,39.673,55.573,64.742,72.802,37.748,48.725,27.134,46.181,55.888,51.088,47.918,55.871,50.690
1992M7,52.519,55.268,54.075,62.495,64.267,41.553,57.275,63.914,73.511,39.204,50.821,27.973,48.088,53.402,50.268,45.305,58.466,49.138
1992M8,52.580,55.421,54.335,63.806,65.664,41.846,56.506,64.821,71.685,38.623,50.472,27.167,47.643,52.011,50.041,43.653,61.642,49.138
1992M9,53.009,55.879,53.989,63.623,65.440,42.138,55.489,64.635,71.487,38.047,49.130,27.332,46.465,51.491,51.591,44.889,64.059,49.138
1992M10,52.501,55.315,53.012,62.841,64.456,43.756,53.331,63.999,71.837,36.489,45.976,27.318,43.655,51.277,51.761,45.256,67.652,47.533
1992M11,50.372,53.034,51.182,60.233,61.419,46.205,51.935,61.763,72.113,35.123,43.914,26.623,41.820,51.258,49.201,44.149,65.666,45.927
1992M12,50.413,53.082,52.569,62.571,63.647,49.845,52.648,63.840,72.428,35.572,44.786,26.664,42.649,51.351,47.294,41.832,64.525,45.927
1993M1,49.831,52.487,52.460,62.620,63.945,46.962,52.466,63.921,72.725,35.176,44.413,26.245,42.306,51.216,46.028,40.549,62.881,45.927
1993M2,50.354,53.066,52.745,62.586,64.058,45.186,53.529,64.445,77.024,35.073,44.190,26.259,42.103,51.795,46.896,43.043,60.374,43.074
1993M3,51.748,54.611,54.009,65.183,67.038,43.259,53.195,66.928,78.732,34.511,43.045,26.261,41.036,52.775,48.478,43.420,65.800,43.074
1993M4,52.013,54.798,54.187,64.905,66.880,41.570,53.535,67.339,83.805,34.287,41.503,27.309,39.854,53.562,48.869,42.287,68.291,43.074
1993M5,52.117,54.690,55.119,65.650,67.596,42.650,54.083,68.632,88.808,34.695,40.281,29.296,39.000,54.188,47.774,41.565,65.489,43.074
1993M6,50.702,53.069,53.927,63.360,65.145,42.267,53.839,66.438,87.256,35.014,40.557,29.655,39.242,53.123,46.038,39.908,63.291,43.074
1993M7,50.609,52.779,54.890,64.537,66.097,46.090,54.202,67.612,88.413,35.951,40.604,31.452,39.603,50.601,44.417,38.138,63.838,43.074
1993M8,50.426,52.699,54.163,64.410,65.598,50.365,52.736,67.043,84.857,35.087,39.969,30.367,38.928,48.633,45.021,37.973,66.829,43.074
1993M9,49.473,51.858,53.491,64.667,65.530,54.477,51.343,67.151,83.952,33.242,38.382,28.273,37.166,47.813,43.660,36.106,65.323,43.074
1993M10,49.518,51.836,53.357,64.589,65.552,53.211,50.492,67.124,84.274,32.930,37.065,28.932,36.084,47.869,43.965,37.832,61.745,43.074
1993M11,48.809,50.940,53.274,64.304,65.154,54.267,49.865,66.695,82.870,33.237,36.746,29.843,35.875,49.420,42.351,35.182,65.482,43.074
1993M12,49.075,51.154,56.276,69.075,70.227,55.461,51.251,70.857,82.915,34.591,38.665,30.652,37.733,51.060,38.661,31.290,62.153,42.686
1994M1,49.866,52.000,56.524,68.496,69.839,52.627,52.889,70.614,84.937,35.495,40.150,30.994,39.124,52.394,40.235,33.441,62.638,43.074
1994M2,50.686,52.955,57.554,69.409,70.714,53.982,55.126,71.921,88.916,36.129,41.695,30.747,40.579,53.128,40.750,32.124,67.834,43.074
1994M3,50.297,52.508,58.148,70.317,71.424,57.233,55.260,72.744,89.160,36.276,41.785,30.950,40.744,54.913,38.940,31.637,59.611,42.003
1994M4,50.989,53.338,57.807,69.155,69.979,59.419,56.464,72.463,94.837,35.734,41.212,30.439,40.188,55.874,41.127,34.968,58.377,42.003
1994M5,52.402,54.873,58.835,69.970,69.560,74.812,58.706,73.220,95.205,37.381,44.199,30.789,42.890,54.418,43.099,37.639,56.952,43.359
1994M6,53.306,55.841,59.188,69.287,67.893,85.762,61.375,73.030,98.352,38.750,46.677,31.086,45.097,52.484,44.798,39.136,58.273,46.093
1994M7,54.593,57.276,60.381,71.390,67.449,117.971,61.875,74.671,96.859,39.395,47.969,31.106,46.286,52.127,46.220,40.145,58.742,45.736
1994M8,53.539,56.146,60.166,71.397,67.831,113.549,61.194,74.729,97.269,38.680,46.856,30.775,45.292,52.922,43.954,37.840,55.714,45.736
1994M9,53.604,56.116,61.451,72.583,68.184,124.580,62.479,75.502,95.244,40.426,49.456,31.695,47.727,57.970,42.253,35.722,53.918,46.124
1994M10,54.170,56.767,61.766,72.298,68.650,115.414,63.601,75.077,93.880,41.375,51.566,31.523,49.596,64.103,43.182,36.160,54.329,47.483
1994M11,54.272,56.927,61.022,69.111,65.940,106.586,67.085,72.391,94.576,43.393,56.158,31.052,53.580,65.577,44.507,37.907,54.332,47.289
1994M12,55.300,58.118,63.672,72.962,71.098,94.984,69.871,76.251,98.501,44.281,58.490,30.543,55.511,67.332,43.191,36.027,55.710,50.593
1995M1,55.970,58.872,63.988,71.482,69.318,97.050,73.362,75.322,101.299,46.111,62.257,30.500,58.876,72.122,44.373,37.306,54.839,52.859
1995M2,56.353,59.316,63.864,72.276,70.118,97.775,71.170,76.365,104.031,43.991,58.108,30.343,55.175,74.670,45.489,38.272,56.037,53.604
1995M3,56.953,59.937,64.736,73.783,71.279,103.378,71.135,78.229,108.305,43.323,56.361,30.718,53.633,75.970,45.696,36.642,57.182,54.333
1995M4,57.479,60.438,63.791,71.276,68.715,101.546,71.669,76.188,109.415,44.030,56.666,31.813,54.303,75.177,48.349,38.604,59.470,53.635
1995M5,56.730,59.657,62.830,70.418,67.973,99.309,70.424,75.438,109.403,42.935,54.931,31.337,52.701,71.988,47.907,38.350,59.409,54.827
1995M6,56.068,58.900,62.895,70.689,68.951,91.230,70.734,75.119,105.086,44.040,57.080,31.433,54.552,66.580,46.194,35.945,59.631,56.168
1995M7,55.558,58.343,63.867,72.933,71.835,85.908,70.719,76.304,99.109,45.103,59.435,31.247,56.555,62.601,43.540,33.430,56.584,57.346
1995M8,55.746,58.575,63.704,73.026,71.457,91.565,69.751,75.815,94.680,45.222,59.842,31.088,56.935,65.001,44.235,35.390,56.564,56.875
1995M9,55.763,58.599,63.220,72.603,71.718,83.065,67.969,75.541,95.415,43.840,57.061,31.059,54.467,71.426,44.977,36.632,57.976,57.089
1995M10,55.641,58.465,63.364,73.515,72.841,81.487,66.228,76.126,93.782,42.900,55.276,30.935,52.777,76.515,44.471,35.007,60.552,56.978
1995M11,56.501,59.398,63.880,72.983,72.314,80.893,68.750,76.231,98.200,43.848,57.044,31.090,54.322,79.328,45.827,36.468,62.478,56.242
1995M12,59.204,62.390,65.770,77.151,77.690,70.777,67.752,79.700,96.946,43.438,56.148,31.149,53.458,80.061,49.707,39.144,71.797,55.248
1996M1,58.711,61.728,64.576,75.731,76.180,70.428,65.522,78.257,95.346,42.727,53.668,32.149,51.361,77.633,50.227,39.282,75.848,55.061
1996M2,60.530,63.712,65.893,78.091,78.247,76.250,65.854,80.242,94.792,43.280,54.351,32.576,52.076,75.962,52.773,39.077,88.859,54.608
1996M3,60.488,63.740,65.643,77.738,78.223,72.005,66.352,80.090,96.003,43.054,54.566,31.923,52.195,73.649,53.032,43.119,76.448,53.383
1996M4,61.415,64.800,66.903,80.948,81.566,73.632,65.544,82.550,93.388,42.858,54.476,31.625,52.047,70.589,53.476,46.372,67.826,54.194
1996M5,60.699,64.014,67.668,82.355,82.904,75.868,66.663,84.110,95.980,43.054,55.009,31.495,52.480,63.721,50.620,42.869,67.683,53.085
1996M6,59.059,62.249,65.114,79.311,79.777,73.808,63.528,81.526,96.510,40.500,50.418,30.912,48.293,61.712,50.301,41.700,70.894,52.402
1996M7,59.731,63.012,64.975,79.972,80.920,68.769,61.226,81.773,93.955,39.348,48.216,30.775,46.319,66.670,52.145,43.722,71.800,52.312
1996M8,59.515,62.736,64.620,78.972,79.714,70.195,61.307,80.909,94.017,39.545,48.306,31.074,46.422,68.955,52.130,44.889,65.248,52.222
1996M9,58.989,62.192,61.456,73.038,73.528,67.243,61.261,75.973,95.829,38.950,47.521,30.664,45.639,67.192,55.421,49.555,62.165,53.091
1996M10,59.765,63.073,59.899,70.689,70.943,67.692,60.057,73.707,94.124,38.351,46.516,30.456,44.677,67.060,59.572,52.759,71.007,53.410
1996M11,60.476,63.887,60.482,70.588,70.913,66.751,62.132,73.743,95.082,39.475,49.035,30.233,46.877,71.078,60.467,49.656,83.469,51.969
1996M12,63.218,67.026,62.308,74.962,75.914,63.707,61.179,77.073,91.352,39.185,49.186,29.517,46.971,70.934,64.533,52.985,92.884,52.418
1997M1,62.316,66.147,62.659,74.949,75.554,67.796,63.516,77.329,93.431,39.870,51.625,28.505,49.101,69.028,61.819,53.336,86.049,51.967
1997M2,59.397,62.974,63.358,76.271,76.188,77.262,64.174,78.505,93.615,40.075,52.472,28.090,50.022,66.967,53.668,48.073,70.806,50.920
1997M3,58.590,62.030,64.056,77.305,76.569,85.999,64.777,79.385,93.458,40.777,53.377,28.595,50.961,64.326,50.683,45.685,64.858,50.538
1997M4,56.748,60.045,62.780,76.211,75.177,88.432,62.454,77.935,89.599,39.598,51.664,27.934,49.298,65.049,48.021,42.516,64.461,50.862
1997M5,58.144,61.608,63.072,75.937,73.375,106.214,64.121,77.918,91.318,40.440,53.311,27.997,50.877,64.382,51.016,45.593,67.262,50.741
1997M6,55.785,59.011,60.881,72.339,70.406,95.184,63.249,74.553,89.530,40.228,52.803,28.070,50.702,59.831,48.415,42.045,66.766,49.669
1997M7,55.236,58.548,59.756,71.277,69.905,87.486,62.535,73.536,88.822,39.163,52.086,26.668,49.837,56.013,48.699,43.434,64.665,49.242
1997M8,55.492,58.833,59.196,70.678,69.425,85.498,61.561,72.556,85.254,39.280,52.144,26.842,50.051,54.992,50.135,45.009,67.937,50.432
1997M9,55.535,58.877,58.521,70.576,69.248,86.280,59.453,72.191,83.111,38.261,50.049,26.864,48.181,52.824,51.215,44.674,73.714,49.697
1997M10,56.232,59.659,57.886,70.253,69.292,81.608,57.599,71.516,80.065,37.641,48.670,26.978,47.098,52.726,53.840,47.627,75.373,49.014
1997M11,55.113,58.581,57.597,70.714,69.877,80.610,56.731,71.940,80.236,36.300,47.388,25.580,45.874,52.061,51.521,45.229,74.239,45.464
